;ODSOBJECT;OBJVERS;ODSTABLE;POSIT;KEYFLAG;IOBJNM
;MBDSDITM;A;MBDSDITM_0000; 0001;X;MBORDNUM
;MBDSDITM;A;MBDSDITM_0000; 0002;X;MBORDITM
;MBDSDITM;A;MBDSDITM_0000; 0003;;MBSTAPRC
;MBDSDITM;A;MBDSDITM_0000; 0004;;MBSTADEL
;MBDSDITM;A;MBDSDITM_0000; 0005;;MEDIVISIO
;MBDSDITM;A;MBDSDITM_0000; 0006;;MEPLANT
;MBDSDITM;A;MBDSDITM_0000; 0007;;MEMATER
;MBDSDITM;A;MBDSDITM_0000; 0008;;MBDOCTYP
;MBDSDITM;A;MBDSDITM_0000; 0009;;MBPUREAS
;MBDSDITM;A;MBDSDITM_0000; 0010;;MECOMPCOD
;MBDSDITM;A;MBDSDITM_0000; 0011;;MEPRCTR
;MBDSDITM;A;MBDSDITM_0000; 0012;;MECCENTER
;MBDSDITM;A;MBDSDITM_0000; 0013;;MECO_AREA
;MBDSDITM;A;MBDSDITM_0000; 0014;;MBBILLBLK
;MBDSDITM;A;MBDSDITM_0000; 0015;;MESOLD_TO
;MBDSDITM;A;MBDSDITM_0000; 0016;;MECUGRP2
;MBDSDITM;A;MBDSDITM_0000; 0017;;MBDELBLK
;MBDSDITM;A;MBDSDITM_0000; 0018;;MBBPRCTR
;MBDSDITM;A;MBDSDITM_0000; 0019;;MBVBTYP
;MBDSDITM;A;MBDSDITM_0000; 0020;;MESALOFF
;MBDSDITM;A;MBDSDITM_0000; 0021;;MESALGRP
;MBDSDITM;A;MBDSDITM_0000; 0022;;MESALEORG
;MBDSDITM;A;MBDSDITM_0000; 0023;;MEDISCHAN
;MBDSDITM;A;MBDSDITM_0000; 0024;;MBBSARKE
;MBDSDITM;A;MBDSDITM_0000; 0025;;MBREAREF
;MBDSDITM;A;MBDSDITM_0000; 0026;;MBBSTDK
;MBDSDITM;A;MBDSDITM_0000; 0027;;MBFAKSP
;MBDSDITM;A;MBDSDITM_0000; 0028;;MEBILLTO
;MBDSDITM;A;MBDSDITM_0000; 0029;;MEPAYER
;MBDSDITM;A;MBDSDITM_0000; 0030;;MESHIPTO
;MBDSDITM;A;MBDSDITM_0000; 0031;;MBFORWAG
;MBDSDITM;A;MBDSDITM_0000; 0032;;MBITMCAT
;MBDSDITM;A;MBDSDITM_0000; 0033;;MBROUTE
;MBDSDITM;A;MBDSDITM_0000; 0034;;MBAPOPLN
;MBDSDITM;A;MBDSDITM_0000; 0035;;MBSHIPPT
;MBDSDITM;A;MBDSDITM_0000; 0036;;MBSUBREA
;MBDSDITM;A;MBDSDITM_0000; 0037;;0BVTSORDDT
;MBDSDITM;A;MBDSDITM_0000; 0038;;MBDOCATR
;MBDSDITM;A;MBDSDITM_0000; 0039;;MBBILTYP
;MBDSDITM;A;MBDSDITM_0000; 0040;;MECSTHL01
;MBDSDITM;A;MBDSDITM_0000; 0041;;MECSTHL02
;MBDSDITM;A;MBDSDITM_0000; 0042;;MECSTHL03
;MBDSDITM;A;MBDSDITM_0000; 0043;;MECSTHL04
;MBDSDITM;A;MBDSDITM_0000; 0044;;MECSTHL05
;MBDSDITM;A;MBDSDITM_0000; 0045;;MECSTHL06
;MBDSDITM;A;MBDSDITM_0000; 0046;;MECSTHL07
;MBDSDITM;A;MBDSDITM_0000; 0047;;MECSTHL08
;MBDSDITM;A;MBDSDITM_0000; 0048;;MECSTHL09
;MBDSDITM;A;MBDSDITM_0000; 0049;;MECSTHL10
;MBDSDITM;A;MBDSDITM_0000; 0050;;MBLCC
;MBDSDITM;A;MBDSDITM_0000; 0051;;MBNOTIFIC
;MBDSDITM;A;MBDSDITM_0000; 0052;;MBSHPCD
;MBDSDITM;A;MBDSDITM_0000; 0053;;MBREQTYP
;MBDSDITM;A;MBDSDITM_0000; 0054;;MBMRPARE
;MBDSDITM;A;MBDSDITM_0000; 0055;;MBRBTGRP
;MBDSDITM;A;MBDSDITM_0000; 0056;;MBBILREV
;MBDSDITM;A;MBDSDITM_0000; 0057;;MBMTVFP
;MBDSDITM;A;MBDSDITM_0000; 0058;;MBSDTPCTY
;MBDSDITM;A;MBDSDITM_0000; 0059;;MBBTPCTY
;MBDSDITM;A;MBDSDITM_0000; 0060;;MBSPTPCTY
;MBDSDITM;A;MBDSDITM_0000; 0061;;MBRETITM
;MBDSDITM;A;MBDSDITM_0000; 0062;;MBHLITM
;MBDSDITM;A;MBDSDITM_0000; 0063;;MBUEPVW
;MBDSDITM;A;MBDSDITM_0000; 0064;;MBZZEDA
;MBDSDITM;A;MBDSDITM_0000; 0065;;MBZZIEDA
;MBDSDITM;A;MBDSDITM_0000; 0066;;MBZZIMBD
;MBDSDITM;A;MBDSDITM_0000; 0067;;MBZZIWAD
;MBDSDITM;A;MBDSDITM_0000; 0068;;MBZZMBD
;MBDSDITM;A;MBDSDITM_0000; 0069;;MBZZWAD
;MBDSDITM;A;MBDSDITM_0000; 0070;;MBBSTKD
;MBDSDITM;A;MBDSDITM_0000; 0071;;MBIHREZ
;MBDSDITM;A;MBDSDITM_0000; 0072;;MBIHREZE
;MBDSDITM;A;MBDSDITM_0000; 0073;;MBCMGST
;MBDSDITM;A;MBDSDITM_0000; 0074;;MBVBOBJ
;MBDSDITM;A;MBDSDITM_0000; 0075;;MBLSSTA
;MBDSDITM;A;MBDSDITM_0000; 0076;;MBUVALL
;MBDSDITM;A;MBDSDITM_0000; 0077;;0CH_ON
;MBDSDITM;A;MBDSDITM_0000; 0078;;0CREATEDON
;MBDSDITM;A;MBDSDITM_0000; 0079;;MBSTABILL
;MBDSDITM;A;MBDSDITM_0000; 0080;;MBBSTDKE
;MBDSDITM;A;MBDSDITM_0000; 0081;;MBDIVHD
;MBDSDITM;A;MBDSDITM_0000; 0082;;0ST_UP_DTE
